"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C20,C19,C18,C14";"CP_Radial_D8.0mm_P3.50mm";4;"820uf";;;
2;"D2";"D_SOD-123F";1;"DIODE";;;
3;"U7";"L7805CDT-TR-DPAK";1;"L7805";;;
4;"D1";"SOT-23";1;"LM4040DBZ-2.0";;;
5;"U3,U1,U2";"MSOP-8_3x3mm_P0.65mm";3;"LT6105";;;
6;"~6V,-Vs,5Vs,+Vs";"KF301_2Pin_5Pitch";4;"Screw_Terminal_01x02";;;
7;"C9,C10";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";2;"10uf";;;
8;"C16,C15,C11,C12";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";4;"100nf";;;
9;"C2,C3,C4";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";3;"220nf";;;
10;"C5,C6,C7,C8,C1,C13,C17";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";7;"0.1uf";;;
11;"RV1";"PinHeader_1x03_P2.54mm_Vertical";1;"R_POT_TRIM";;;
12;"J1";"PinHeader_1x16_P2.54mm_Vertical";1;"Conn_01x16";;;
13;"J6";"PinHeader_2x03_P2.54mm_Vertical";1;"Conn_02x03_Odd_Even";;;
14;"U6";"DIP-28_W7.62mm";1;"ATmega328-PU";;;
15;"U5";"SOIC-16_3.9x9.9mm_P1.27mm";1;"MCP3208";;;
16;"U4";"SOT-23-5";1;"LM321";;;
17;"R1,R12,R25,R26";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";4;"18K";;;
18;"R2,R13,R21";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";3;"1K";;;
19;"R6,R7,R8,R9,R10,R11";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";6;"150";;;
20;"R14,R15,R16";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";3;"1.5K";;;
21;"R19";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"10K";;;
22;"R20";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"3K";;;
23;"R22,R23,R24";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";3;"330";;;
24;"R3,R4,R5";"R_0612_1632Metric_Pad1.18x3.40mm_HandSolder";3;"50m";;;
25;"J7,J8";"PinSocket_1x02_P2.54mm_Vertical";2;"Conn_01x02";;;
